Date,Open,High,Low,Close,Adj Close,Volume
2025-10-29,268.08,275.43,267.9,274.63,274.63,26287900
2025-10-30,291.15,291.36,279.9,281.35,281.35,48570000
2025-10-31,282.65,285.73,276.98,281.27,281.27,29932800
2025-11-03,281.87,285.38,279.82,283.56,283.56,19691800
2025-11-04,276.52,281.28,276.32,277.52,277.52,18123700
2025-11-05,278.83,286.14,277.34,284.19,284.19,20063200
2025-11-06,285.18,288.25,281.07,284.78,284.78,23103800
2025-11-07,283.65,283.94,275.2,279.15,279.15,21991100
2025-11-10,284.71,290.89,282.99,290.02,290.02,19508200
2025-11-11,287.64,291.77,287.32,291.17,291.17,14156700
2025-11-12,291.51,291.79,283.82,286.87,286.87,16998800
2025-11-13,282.43,282.96,277.46,278.57,278.57,18060200
2025-11-14,271.36,278.6,270.88,276.44,276.44,18330500
2025-11-17,285.84,293.94,283.67,285.04,285.04,34286100
2025-11-18,287.92,288.87,278.46,284.4,284.4,29702200
2025-11-19,287.12,303.65,287.11,292.42,292.42,43123600
2025-11-20,304.14,306.29,288.6,289.41,289.41,34801400
2025-11-21,296.29,303.37,293.78,299.06,299.06,43670600
2025-11-24,310.4,319.17,308.79,317.85,317.85,55311800
2025-11-25,326.16,328.03,317.19,323.01,323.01,50899300
2025-11-26,320.15,324.35,316.58,319.65,319.65,29839600
2025-11-28,322.8,326.24,316.32,319.49,319.49,19695800
2025-12-01,316.85,319.0,313.37,314.5,314.5,28520600
2025-12-02,316.28,317.98,313.61,315.4,315.4,24668200
2025-12-03,315.41,321.41,313.67,319.99,319.99,32285100
2025-12-04,322.41,322.47,314.97,317.77,317.77,20831600
2025-12-05,319.37,323.2,319.35,321.46,321.46,15719900
2025-12-08,320.61,320.81,311.5,314.04,314.04,22006900
2025-12-09,312.69,318.29,312.21,317.34,317.34,14151300
2025-12-10,316.21,321.45,314.99,320.58,320.58,22764500
2025-12-11,320.68,321.57,309.48,313.29,313.29,25912100
2025-12-12,314.38,315.73,306.56,310.11,310.11,21264800
2025-12-15,312.22,312.29,305.34,308.92,308.92,22028900
2025-12-16,305.6,311.44,303.43,307.33,307.33,21285200
2025-12-17,308.61,308.79,297.06,297.67,297.67,29120400
2025-12-18,302.66,304.86,300.24,303.35,303.35,21040500
2025-12-19,302.87,308.59,301.95,308.21,308.21,45234400
2025-12-22,310.82,311.29,306.19,310.92,310.92,14091400
2025-12-23,310.73,315.89,310.34,315.27,315.27,13961400
2025-12-24,315.74,315.88,312.91,315.26,315.26,6138200
2025-12-26,315.51,316.15,313.31,314.55,314.55,6730900
2025-12-29,312.41,314.56,311.49,313.98,313.98,12317700
2025-12-30,313.0,317.29,312.84,314.14,314.14,11052500
2025-12-31,312.96,314.98,311.79,313.39,313.39,10821500
2026-01-02,317.18,322.49,310.24,314.91,314.91,22043700
2026-01-05,317.28,318.83,314.84,316.91,316.91,19934000
2026-01-06,316.9,321.14,311.93,314.14,314.14,18989900
2026-01-07,314.16,326.04,314.09,322.01,322.01,24681800
2026-01-08,328.84,330.11,321.57,325.58,325.58,21789600
2026-01-09,327.06,331.05,325.82,328.71,328.71,17917700
2026-01-12,326.07,334.0,325.09,332.3,332.3,23893800
2026-01-13,334.84,340.75,333.91,335.99,335.99,24616700
2026-01-14,334.55,336.59,330.71,335.87,335.87,17839300
2026-01-15,337.61,337.69,330.86,332.73,332.73,16424900
2026-01-16,334.5,334.8,327.74,329.91,329.91,21868600
2026-01-20,320.82,327.66,320.47,321.74,321.74,27169900
2026-01-21,320.68,332.29,319.12,327.95,327.95,22791700
2026-01-22,333.83,334.77,328.45,330.41,330.41,19902100
2026-01-23,332.22,333.59,327.54,328.0,328.0,19110600
2026-01-26,327.77,335.91,327.06,333.15,333.15,18502500
2026-01-27,335.19,337.77,333.31,334.56,334.56,16080900
2026-01-28,336.17,337.19,331.7,335.84,335.84,17538500
2026-01-29,339.91,341.84,326.29,338.22,338.22,24548300
2026-01-30,334.02,339.85,332.21,338.09,338.09,21740200
